nodes,arrival_rate,collision_rate,delay,queue_variance,throughput_value,protocol_name,optimal_protocol_id
20,20,0.29393939393939394,0.07577828401227542,0.6949726966351735,78.0,CSMACaProtocol,2.0
20,20,0.18042813455657492,0.050117827372772025,3.7833833363935154,57.0,CSMACaProtocol,2.0
20,20,0.2721518987341772,0.063262887495303,1.940498422834815,173.0,CSMACaProtocol,2.0
30,1,2.75,0.09824649855825418,0.663764169251686,376.0,SlottedAlohaProtocol,2.0
30,1,4.095238095238095,0.02436629722244628,2.873211795716058,352.0,SlottedAlohaProtocol,2.0
30,1,2.772727272727273,0.03846753340554333,0.959220972723642,320.0,SlottedAlohaProtocol,2.0
30,1,1.9333333333333333,0.021150564798198858,1.447594294489909,377.0,CSMACaProtocol,2.0
30,1,2.36,0.02807677102966835,1.9748331729332038,523.0,CSMACaProtocol,2.0
30,1,1.9333333333333333,0.04777799910901723,0.5811494860621698,349.0,CSMACaProtocol,2.0
30,5,5.161016949152542,0.09127096367868345,2.5322530670909047,311.0,SlottedAlohaProtocol,2.0
30,5,5.07563025210084,0.03617393953774561,4.064831410470315,226.0,SlottedAlohaProtocol,2.0
30,5,4.807017543859649,0.08948988431668047,3.425382649884817,251.0,SlottedAlohaProtocol,2.0
30,5,2.4657534246575343,0.08160914401139191,2.507739727774314,1366.0,CSMACaProtocol,2.0
30,5,1.7537313432835822,0.043811492716385035,0.5970793873744622,961.0,CSMACaProtocol,2.0
30,5,2.1724137931034484,0.019325499859234582,3.98761489482536,786.0,CSMACaProtocol,2.0
30,10,1.7341269841269842,0.0784080853051143,1.5456322464856032,51.0,SlottedAlohaProtocol,2.0
30,10,2.256637168141593,0.06763198604457374,3.419354455985032,64.0,SlottedAlohaProtocol,2.0
30,10,1.5528455284552845,0.05965522771819581,1.4090606231654483,45.0,SlottedAlohaProtocol,2.0
30,10,0.7971698113207547,0.0380875302667483,3.85260083976803,438.0,CSMACaProtocol,2.0
30,10,0.9497716894977168,0.03792188906163038,3.2207223430885326,498.0,CSMACaProtocol,2.0
30,10,0.7074235807860262,0.03595128426273413,3.589863422475409,205.0,CSMACaProtocol,2.0
30,15,0.266839378238342,0.01344590789350985,3.7690717455880676,31.0,SlottedAlohaProtocol,2.0
30,15,0.6424581005586593,0.07719841331599948,2.127099938375646,0.0,SlottedAlohaProtocol,2.0
30,15,0.5365853658536586,0.08559958459563538,4.877225500308888,0.0,SlottedAlohaProtocol,2.0
30,15,0.09032258064516129,0.07509389759082252,4.267836387370554,174.0,CSMACaProtocol,2.0
30,15,0.17866004962779156,0.0243628409192371,3.3510970861626745,116.0,CSMACaProtocol,2.0
30,15,0.031042128603104215,0.08963138397119379,1.650141209587642,0.0,CSMACaProtocol,2.0
30,20,0.13409961685823754,0.09986887277588032,1.1983929381148912,0.0,SlottedAlohaProtocol,2.0
30,20,0.02012072434607646,0.08833464871642875,2.3232334249453883,0.0,SlottedAlohaProtocol,2.0
30,20,0.10251046025104603,0.06878341317491624,2.0517774720436974,0.0,SlottedAlohaProtocol,2.0
30,20,0.025341130604288498,0.07784375301713903,2.1265782236375284,58.0,CSMACaProtocol,2.0
30,20,0.00510204081632653,0.019278580956833394,0.5235429176033772,0.0,CSMACaProtocol,2.0
30,20,0.018255578093306288,0.03709743618768239,1.9045666427148327,0.0,CSMACaProtocol,2.0
40,1,8.8,0.06589691610568006,3.7202870763565534,455.0,SlottedAlohaProtocol,2.0
40,1,6.805555555555555,0.028518558156523426,3.5336885641108884,648.0,SlottedAlohaProtocol,2.0
40,1,7.382352941176471,0.06229686754361436,0.7305563462262351,633.0,SlottedAlohaProtocol,2.0
40,1,1.4444444444444444,0.08198421009861483,1.021007294774946,781.0,CSMACaProtocol,2.0
40,1,2.323529411764706,0.05886329018943046,4.182575489007727,1015.0,CSMACaProtocol,2.0
40,1,1.3333333333333333,0.0593704989439908,3.630283385933421,1015.0,CSMACaProtocol,2.0
40,5,5.20979020979021,0.08738950799093155,4.743261595909234,264.0,SlottedAlohaProtocol,2.0
40,5,3.849462365591398,0.05907583807913315,4.842253979538476,74.0,SlottedAlohaProtocol,2.0
40,5,2.953488372093023,0.0850176723563526,2.2546000028786417,182.0,SlottedAlohaProtocol,2.0
40,5,1.6162790697674418,0.07418756270007619,3.21882926358986,625.0,CSMACaProtocol,2.0
40,5,2.167741935483871,0.08066342749958047,3.251832321581219,667.0,CSMACaProtocol,2.0
40,5,1.1731843575418994,0.054116850838960416,2.976705933885037,821.0,CSMACaProtocol,2.0
40,10,0.7906976744186046,0.06945476118769525,1.4970109114752193,0.0,SlottedAlohaProtocol,2.0
40,10,0.9756756756756757,0.08944272373546774,4.083043449388928,3.0,SlottedAlohaProtocol,2.0
40,10,0.7727272727272727,0.08272602085424653,2.3314983225456207,2.0,SlottedAlohaProtocol,2.0
40,10,0.20234604105571846,0.08005378471297896,1.216596928529596,274.0,CSMACaProtocol,2.0
40,10,0.009950248756218905,0.05612297036665806,4.087630361638471,39.0,CSMACaProtocol,2.0
40,10,0.14905149051490515,0.02433903181017119,3.4142006775071776,118.0,CSMACaProtocol,2.0
40,15,0.07570422535211267,0.05590791635463173,0.6718190924258811,0.0,SlottedAlohaProtocol,2.0
40,15,0.0959409594095941,0.018972684013484786,2.0102457470218553,0.0,SlottedAlohaProtocol,2.0
40,15,0.015463917525773196,0.021903235955575293,2.5766542320335835,0.0,SlottedAlohaProtocol,2.0
40,15,0.008620689655172414,0.031011277987642458,2.4379332815575037,117.0,CSMACaProtocol,2.0
40,15,0.07481751824817519,0.09833548672644299,4.668579945647513,312.0,CSMACaProtocol,2.0
40,15,0.03655913978494624,0.09448233940998385,1.5488425637464778,0.0,CSMACaProtocol,2.0
